openness,tenseness
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
0.9310,1.0000
